authors,year,title,journal_or_series,doi_or_stable_url,search_family,reading_depth,proposition_1_risk,proposition_2_risk,full_text_inspected,appendix_or_proof_inspected,classification,final_disposition
"Inoue; Kamijo; Tomaru",2009,"Interregional Mixed Duopoly","Regional Science and Urban Economics","10.1016/j.regsciurbeco.2008.10.001","regional mixed oligopoly","MODEL","MEDIUM","LOW","model/results","no","COMPONENT_OVERLAP","Own-region welfare prior art"
"Morales, Antonio J.; Rodero-Cosano, Javier",2023,"Forward induction and market entry with an endogenous outside option","Social Choice and Welfare","10.1007/s00355-023-01455-5","endogenous outside option","MODEL","MEDIUM","MEDIUM","model/results","no","STRUCTURALLY_CLOSE","Outside option affects entry/coordination; not residual network"
"De Jaegher, Kris",2021,"Common-Enemy Effects: Multidisciplinary Antecedents and Economic Perspectives","Journal of Economic Surveys","10.1111/joes.12394","common rival","DEEP_MODEL","MEDIUM","MEDIUM","yes","formal results reviewed","STRUCTURALLY_CLOSE","Kills broad common-rival cooperation claim"
"De Jaegher; Hoyer",2016,"Cooperation and the common enemy effect","working paper / related formal publications","","common enemy","MODEL","MEDIUM","LOW","model/results","no","COMPONENT_OVERLAP","PD/Stag-Hunt criticality mechanism differs"
"Haller; Hoyer",2019,"Network formation and disruption/common enemy result","Journal of Economic Behavior & Organization","10.1016/j.jebo.2019.03.011","network disruption","MODEL","LOW","LOW","model/results","no","MERELY_RELATED","Common disruptor affects links"
"Mankiw, N. Gregory; Whinston, Michael",1986,"Free Entry and Social Inefficiency","RAND Journal of Economics","","generic entry","SCREEN","MEDIUM","LOW","classic result","no","COMPONENT_OVERLAP","Business-stealing benchmark"
"Katz, Michael; Shapiro, Carl",1985,"Network Externalities, Competition, and Compatibility","American Economic Review","","network foundations","SCREEN","LOW","LOW","classic","no","FOUNDATIONAL","Network/compatibility baseline"
"Farrell, Joseph; Saloner, Garth",1985,"Standardization, Compatibility, and Innovation","RAND Journal of Economics","","standards/installed base","SCREEN","LOW","LOW","classic","no","FOUNDATIONAL","Installed-base/compatibility baseline"
"Armstrong, Mark",2006,"Competition in Two-Sided Markets","RAND Journal of Economics","","platform foundations","MODEL","MEDIUM","LOW","model/results","no","FOUNDATIONAL","Two-sided platform benchmark"
"Cremer, Jacques; Rey, Patrick; Tirole, Jean",2000,"Connectivity in the Commercial Internet","Journal of Industrial Economics","","network connectivity","MODEL","MEDIUM","LOW","model/results","no","COMPONENT_OVERLAP","Connectivity/network competition ancestor"
"Zhu",2012,"Entry into Platform-Based Markets","Strategic Management Journal","","platform entry","SCREEN","LOW","LOW","screened","no","MERELY_RELATED","Platform entry background"
"Frost et al.",2025,"Payment platform competition with public payment infrastructure","working/published frontier","","public infrastructure","SCREEN","LOW","LOW","screened","no","MERELY_RELATED","Adjacent public-platform/interoperability work"
