source_id,case_or_topic,source_type,url,evidence_used,evidence_level
S23,Setouchi-i-Base,Kagawa official,https://www.pref.kagawa.lg.jp/kocho/kagawa_topics/kurashi202012.html,2020 opening; three pillars and fee structure,PRIMARY-OBSERVED
S24,Setouchi-i-Base,Kagawa designated management,https://www.pref.kagawa.lg.jp/jinji/gyokaku/shitei.html,designated manager for e-topia Kagawa,PRIMARY-OBSERVED
S25,Ishikawa Innovation Base,Ishikawa official,https://www.pref.ishikawa.lg.jp/syoko/startup/iib.html,local exchange plus explicit Tokyo-resource import,PRIMARY-OBSERVED
S26,MomoSta,Okayama City,https://www.city.okayama.jp/jigyosha/0000030583.html,operating committee composition and open/free events,PRIMARY-OBSERVED
S27,K-NIC,official facility,https://www.k-nic.jp/about/,NEDO/Kawasaki/foundation three-party operation and partner matching,PRIMARY-OBSERVED
S28,Camps Hiroshima,Hiroshima Prefecture,https://www.pref.hiroshima.lg.jp/soshiki/247/innovationhubcamps.html,community/open facility functions,PRIMARY-OBSERVED
S29,CO-DEJIMA,Nagasaki Prefecture,https://www.pref.nagasaki.jp/bunrui/shigoto-sangyo/sangyoshien/jigyoshien/shinkigyou/startup/,startup exchange facility and programs,PRIMARY-OBSERVED
S30,Lagoon KOZA,Okinawa City,https://www.city.okinawa.okinawa.jp/k032-001/sangyou/kigyoushien/sogyoushien/34359.html,municipal contracted startup hub,PRIMARY-OBSERVED
S31,SCOP TOYAMA,Toyama Prefecture,https://www.pref.toyama.jp/100222/kensei/kenseiunei/kensei/soshiki/20/100222.html,prefectural facility and functions,PRIMARY-OBSERVED
S32,Shinshu Startup Station,Nagano Prefecture,https://www.pref.nagano.lg.jp/keieishien/sangyo/shokogyo/sogyo/sss.html,two prefectural startup support sites,PRIMARY-OBSERVED
S33,KOIN,Kyoto Prefecture,https://www.pref.kyoto.jp/sangyo-sinko/startup/index.html,open-innovation facility and surrounding external-support programs,PRIMARY-OBSERVED
S34,XOSS POINT,official facility,https://xosspoint.jp/,municipal startup support mission and services,PRIMARY-OBSERVED
S35,regional actor density,Statistics Bureau,https://www.stat.go.jp/data/e-census/2021/kekka/pdf/s_outline.pdf,2021 prefecture establishment/employment table as standardized regional proxy,PRIMARY-OBSERVED
