source_id,family,year,title,source_type,url,evidence_use,classification
S13,Search,,Is export promotion effective in developing countries? Firm-level evidence on the intensive and extensive margins of exports,publisher,https://www.sciencedirect.com/science/article/pii/S0022199608000457,export agencies reduce matching/search frictions,COMPONENT OVERLAP
S14,Search,2017,Exporting and Firm Performance: Evidence from a Randomized Experiment,publisher,https://academic.oup.com/qje/article/132/2/551/3002609,intervention reducing matching frictions to foreign buyers,COMPONENT OVERLAP
S15,Search,2021,The impact of export promotion with matchmaking on exports and service outsourcing,publisher,https://onlinelibrary.wiley.com/doi/10.1111/roie.12548,Japanese trade-fair matchmaking support,COMPONENT OVERLAP
S16,Search,2020,Price dispersion and the border effect,publisher,https://www.sciencedirect.com/science/article/abs/pii/S0304393219301710,regional segmentation in search-based trade model,COMPONENT OVERLAP
S17,Search,,Online business platforms and international trade,publisher,https://www.sciencedirect.com/science/article/abs/pii/S0022199622000319,platform reduction of international search frictions,COMPONENT OVERLAP
S18,Search,2018,An economic model of search and matching in international trade,author/repository,https://www.researchgate.net/publication/321851371_An_economic_model_of_search_and_matching_in_international_trade,foreign buyer search/matching model,COMPONENT OVERLAP
N01,Network,1996,A Strategic Model of Social and Economic Networks,publisher,https://www.sciencedirect.com/science/article/pii/S0022053196901088,network stability versus efficiency,STRUCTURALLY VERY CLOSE
N02,Network,2000,Collaboration Networks Structural Holes and Innovation: A Longitudinal Study,publisher,https://journals.sagepub.com/doi/10.2307/2667105,closure/structural holes and innovation,STRUCTURALLY VERY CLOSE
N03,Network,2004,Structural Holes and Good Ideas,journal,https://www.journals.uchicago.edu/doi/abs/10.1086/421787,brokerage/non-redundant information benefit,STRUCTURALLY VERY CLOSE
N04,Network,2004,Clusters and knowledge: local buzz global pipelines and the process of knowledge creation,publisher,https://journals.sagepub.com/doi/10.1191/0309132504ph469oa,local embedded learning versus external pipelines,NEAR-EXACT CONCEPTUAL
N05,Network,2013,When Do Global Pipelines Enhance the Diffusion of Knowledge in Clusters?,publisher,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1944-8287.2012.01167.x,formal cluster pipeline model,STRUCTURALLY VERY CLOSE FORMAL
N06,Network,2023,Too much of a good thing? Network brokerage within and between regions and innovation performance,publisher,https://www.tandfonline.com/doi/full/10.1080/00343404.2021.1998417,internal brokerage versus external boundary spanning,NEAR-EXACT EMPIRICAL STRUCTURE
N07,Network,2016,Local buzz global pipelines or simply too much buzz? A critical study,publisher,https://www.sciencedirect.com/science/article/pii/S0016718516301919,substitution/addition patterns local/international collaboration,STRUCTURALLY VERY CLOSE
N08,Network,2010,Regional Knowledge Networks: A Network Analysis Approach To the Interlinking of Knowledge Resources,publisher,https://journals.sagepub.com/doi/10.1177/0969776409350794,regional knowledge-network topology,COMPONENT OVERLAP
N09,Network,2015,Network Closure or Structural Hole? The Conditioning Effects of Network-Level Social Capital on Innovation Performance,publisher,https://sage.cnpereading.com/doi/10.1111/etap.12102,closure/brokerage contingent innovation returns,STRUCTURALLY VERY CLOSE
N10,Network,2025,Structural holes and firm innovation in industrial clusters: A dual embeddedness perspective,publisher,https://www.sciencedirect.com/science/article/abs/pii/S0148296325002759,cluster context conditions brokerage effects,COMPONENT OVERLAP
N11,Network,2018,Harvesting Value from Brokerage: Individual Strategic Orientation Structural Holes and Performance,publisher,https://journals.aom.org/doi/10.5465/amj.2016.0123,brokerage mechanism refinement,COMPONENT OVERLAP
C01,Club,1965,An Economic Theory of Clubs,JSTOR,https://www.jstor.org/stable/2552442,foundational club size/provision/congestion,EXACT FAMILY FOUNDATION
C02,Club,1997,Club Theory: Thirty Years Later,RePEc,https://ideas.repec.org/a/kap/pubcho/v93y1997i3p335-355.html,club theory survey and extensions,EXACT FAMILY SURVEY
C03,Club,1999,Public Goods Club Goods and the Measurement of Crowding,publisher,https://www.sciencedirect.com/science/article/pii/S009411909892112X,crowding/optimal club size,COMPONENT OVERLAP
C04,Club,2011,Efficient agglomeration of spatial clubs,RePEc,https://ideas.repec.org/a/eee/juecon/v69y2011i1p118-135.html,spatial club agglomeration,STRUCTURALLY VERY CLOSE
C05,Club,2004,The Geographic Concentration of Knowledge: Scale Agglomeration and Congestion in Innovation Across U.S. States,publisher,https://journals.sagepub.com/doi/10.1177/0160017603262401,innovation agglomeration and congestion,STRUCTURALLY VERY CLOSE
C06,Club,2022,(Co-)Working in Close Proximity: Knowledge Spillovers and Social Interactions,NBER,https://www.nber.org/papers/w30120,randomized coworking proximity spillovers,COMPONENT OVERLAP
C07,Club,2025,Knowledge exchange in peripheral coworking spaces: A study of proximities using social network analysis,publisher,https://doi.org/10.1016/j.geoforum.2025.104264,peripheral coworking/proximity mechanisms,COMPONENT OVERLAP
C08,Club,2022,How do coworking spaces coagglomerate with service industries? The tale of three European cities,publisher,https://www.sciencedirect.com/science/article/pii/S0264275122003146,coworking agglomeration location patterns,COMPONENT OVERLAP
C09,Club,,Productivity Growth and Pecuniary Knowledge Externalities: An Empirical Analysis of Agglomeration Economies in European Regions,publisher,https://www.tandfonline.com/doi/full/10.1111/j.1944-8287.2010.01104.x,inverted-U/diminishing agglomeration gains,STRUCTURALLY VERY CLOSE
C10,Club,2022,Geography of Knowledge and R&D-led Growth,publisher,https://academic.oup.com/joeg/article/22/6/1149/6375387,knowledge-flow frictions and endogenous innovation agglomeration,COMPONENT OVERLAP
