unit_id,region,decision_year,preperiod_source_rule,actor_density,research_capacity,industrial_structure,local_linkage_proxy,external_linkage_proxy,merge_status
U20,Saga,2024,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U21,Saga,2024,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U22,Aomori,2024,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U23,Akita,2024,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U24,Iwate,2023,2020 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U25,Mie,2026,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U26,Yamanashi,2024,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U27,Fukuoka,2025,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U28,Akita,2026,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U29,Okayama,2026,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U30,Okayama,2026,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
Z01,Tokyo,2026,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
Z02,Okayama,2026,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
Z03,Tokyo,2026,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
Z04,Hiroshima,2026,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
Z05,Saga,2024,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
